id,industry_id,company_name,company_size,company_type,company_headquarters,company_website,company_description
0,2,Quantum Finance Group,201-500,Public,"New York, USA",https://quantumfinancegroup.com,"Quantum Finance Group specializes in wealth management, offering investment solutions for global clients."
1,2,GreenVest Capital,51-200,Private,"London, UK",https://greenvestcapital.com,GreenVest Capital focuses on sustainable investments and ethical finance services across the UK and Europe.
2,5,AeroMax Solutions,5000+,Multinational,"Berlin, Germany",https://aeromaxsolutions.com,AeroMax Solutions is a leader in aerospace manufacturing and innovation for defense and commercial sectors.
3,3,HealthSync Systems,1001-5000,Enterprise,"San Francisco, USA",https://healthsyncsystems.com,HealthSync Systems provides cutting-edge health IT solutions for hospitals and clinics worldwide.
4,12,TurboTransit Corp,501-1000,Government,"Dubai, UAE",https://turbotransitcorp.com,TurboTransit Corp manages public transportation networks across major cities in the Middle East.
5,4,WellCare Pharmaceuticals,5000+,Private,"Mumbai, India",https://wellcarepharma.com,WellCare Pharmaceuticals focuses on innovative drug development and personalized healthcare solutions.
6,1,Insight Consulting,51-200,Cooperative,"Toronto, Canada",https://insightconsulting.com,Insight Consulting offers business strategy and operational optimization services for global enterprises.
7,18,Skyline Properties,201-500,Private,"Sydney, Australia",https://skylineproperties.com,Skyline Properties specializes in commercial and residential real estate development across Australia.
8,0,AccuStrategy Group,11-50,Public,"Paris, France",https://accustrategygroup.com,AccuStrategy Group offers consulting services focused on market research and competitive intelligence.
9,19,EcoMotors Corp,501-1000,Enterprise,"Tokyo, Japan",https://ecomotors.com,EcoMotors Corp develops electric vehicle technologies and promotes green mobility solutions.
10,4,Medica Health,201-500,Startup,"Boston, USA",https://medicahealth.com,Medica Health innovates in the field of telemedicine and remote diagnostics.
11,7,TeleLink Networks,5000+,Public,"Berlin, Germany",https://telelinknetworks.com,TeleLink Networks provides next-gen telecommunications solutions across Europe.
12,5,Global Aerospace,1001-5000,Public,"Seattle, WA",https://globalaerospace.com,Global Aerospace leads innovations in aircraft manufacturing and space exploration technologies.
13,9,ConstructCo,201-500,Private,"Dubai, UAE",https://constructco.com,ConstructCo specializes in large-scale infrastructure and commercial real estate projects.
14,8,SolarNext Energy,51-200,Startup,"San Francisco, USA",https://solarnext.com,SolarNext Energy pioneers solar technology solutions for homes and businesses.
