id,company_id,title,years_of_experience,description,responsibilities,education_id,skills_requirement
0,0,Data Analyst,2-4,Analyze financial data to identify trends and provide actionable insights.,"Collect and analyze financial data, create reports, collaborate with financial teams.",0,"[14, 1, 2, 57, 4]"
1,0,Quantitative Researcher,3-5,Develop mathematical models for risk assessment and investment strategies.,"Conduct quantitative research, develop algorithms, collaborate with traders.",1,"[5, 49, 7, 186, 87]"
2,0,Investment Analyst,1-3,Support investment decisions by performing detailed research and analysis.,"Research investment opportunities, prepare financial models, assist senior analysts.",0,"[10, 2, 11, 4, 1]"
3,1,Renewable Energy Consultant,2-4,Advise on renewable energy projects and investments.,"Analyze project viability, develop sustainable strategies, engage stakeholders.",2,"[12, 183, 14, 15, 4]"
4,1,Corporate Sustainability Specialist,3-6,Implement sustainability programs within corporate structures.,"Develop sustainability goals, create impact reports, train teams.",3,"[16, 17, 18, 193, 284]"
5,1,Financial Planner,1-3,Help clients achieve financial goals through tailored planning.,"Create financial plans, monitor investments, provide advice to clients.",0,"[21, 15, 4, 1, 22]"
6,2,Aerospace Engineer,5-8,Design and develop advanced aerospace systems.,"Lead engineering projects, create prototypes, conduct tests.",4,"[23, 256, 140, 26, 27]"
7,2,Product Manager - Aerospace,4-6,Oversee product development cycles for aerospace solutions.,"Define product roadmaps, coordinate teams, ensure quality control.",5,"[28, 29, 4, 30, 31]"
8,2,Research Scientist - Aerospace,3-5,Conduct research on innovative aerospace technologies.,"Develop and test new technologies, write research papers, collaborate with global teams.",6,"[98, 27, 14, 33, 34]"
9,3,Health Data Scientist,2-5,Analyze healthcare data to optimize patient outcomes.,"Develop predictive models, analyze clinical data, collaborate with IT teams.",7,"[35, 49, 7, 36, 87]"
10,3,Clinical Systems Analyst,3-5,Ensure effective operation of clinical information systems.,"Monitor system performance, provide IT support, implement new solutions.",8,"[37, 38, 4, 27, 57]"
11,3,AI/ML Engineer - Healthcare,4-7,Develop machine learning models for healthcare applications.,"Create AI models, collaborate with clinicians, ensure data security.",9,"[175, 87, 49, 130, 41]"
12,4,Logistics Coordinator,2-4,Coordinate transportation and delivery operations.,"Manage schedules, monitor fleet performance, optimize routes.",10,"[48, 4, 43, 27, 14]"
13,4,Transport Engineer,3-6,Design and optimize transport infrastructure and systems.,"Plan projects, ensure safety standards, collaborate with urban planners.",11,"[44, 256, 45, 183, 4]"
14,4,Operations Manager - Transit,5-8,Oversee daily transit operations and manage teams.,"Monitor transit systems, ensure operational efficiency, manage budgets.",12,"[46, 47, 26, 48, 27]"
15,5,Data Scientist,3-6,Analyze and interpret complex data to provide insights.,"Build predictive models, analyze trends, and present findings.",13,"[49, 87, 14, 50, 51]"
16,5,AI Engineer,4-7,Design and deploy AI solutions.,"Develop algorithms, optimize models, and integrate AI into business processes.",14,"[213, 130, 49, 101, 54]"
17,5,Business Analyst,3-5,Analyze business data to identify trends and strategies.,"Monitor KPIs, prepare reports, and recommend process improvements.",15,"[14, 55, 4, 56, 1]"
18,5,Machine Learning Researcher,5-8,Conduct research on advanced machine learning techniques.,"Develop new algorithms, publish papers, and collaborate with research teams.",16,"[98, 49, 87, 33, 50]"
19,5,Data Engineer,3-5,Design and maintain scalable data pipelines.,"Develop ETL processes, ensure data quality, and optimize databases.",17,"[57, 49, 58, 64, 60]"
20,5,DevOps Engineer,4-6,Manage and optimize DevOps workflows.,"Automate deployment processes, manage CI/CD pipelines, and monitor system performance.",8,"[61, 99, 64, 63, 4]"
